x_cm,phi_g1,phi_g2
0.000000000000000000e+00,-4.127323157649681086e-03,0.000000000000000000e+00
5.075141906738280806e-01,1.051643865801933008e+13,4.109132548458104004e+12
1.015028381347656161e+00,2.099137373715927734e+13,8.202048228031537109e+12
1.522542572021484242e+00,3.138346545420510156e+13,1.226259417040832812e+13
2.030056762695312322e+00,4.165170097084471875e+13,1.627474525584090234e+13
2.537570953369140625e+00,5.175555625260454688e+13,2.022266735697253516e+13
3.045085144042968928e+00,6.165515599869984375e+13,2.409077982890409375e+13
3.552599334716797230e+00,7.131143101162970312e+13,2.786381699888136719e+13
4.060113525390625533e+00,8.068627238545053125e+13,3.152688841293117188e+13
4.567627716064453836e+00,8.974268190421746875e+13,3.506553760168037891e+13
5.075141906738282138e+00,9.844491805703990625e+13,3.846579913343606250e+13
5.582656097412110441e+00,1.067586370934961250e+14,4.171425372936407031e+13
6.090170288085938743e+00,1.146510285627262656e+14,4.479808122325207031e+13
6.597684478759767046e+00,1.220909448012918750e+14,4.770511115684841406e+13
7.105198669433595349e+00,1.290490238587737812e+14,5.042387081110084375e+13
7.612712860107423651e+00,1.354978053759760000e+14,5.294363048373716406e+13
8.120227050781251066e+00,1.414118389584182500e+14,5.525444583449820312e+13
8.627741241455078480e+00,1.467677846174155312e+14,5.734719713090555469e+13
9.135255432128905895e+00,1.515445048823505938e+14,5.921362523967947656e+13
9.642769622802733309e+00,1.557231482206136250e+14,6.084636422176451562e+13
1.015028381347656072e+01,1.592872234359890625e+14,6.223897040232585938e+13
1.065779800415038814e+01,1.622226647518729375e+14,6.338594780099009375e+13
1.116531219482421555e+01,1.645178873224669688e+14,6.428276982196882031e+13
1.167282638549804297e+01,1.661638329528725000e+14,6.492589711846424219e+13
1.218034057617187038e+01,1.671540058476473438e+14,6.531279156085399219e+13
1.268785476684569780e+01,1.674844982467428125e+14,6.544192625352921875e+13
1.319536895751952521e+01,1.671540058476473125e+14,6.531279156085399219e+13
1.370288314819335262e+01,1.661638329528724062e+14,6.492589711846425781e+13
1.421039733886718004e+01,1.645178873224668438e+14,6.428276982196882031e+13
1.471791152954100745e+01,1.622226647518728438e+14,6.338594780099011719e+13
1.522542572021483487e+01,1.592872234359890000e+14,6.223897040232589062e+13
1.573293991088866228e+01,1.557231482206135938e+14,6.084636422176452344e+13
1.624045410156249147e+01,1.515445048823506250e+14,5.921362523967949219e+13
1.674796829223631889e+01,1.467677846174156250e+14,5.734719713090557812e+13
1.725548248291014630e+01,1.414118389584183750e+14,5.525444583449821094e+13
1.776299667358397372e+01,1.354978053759761875e+14,5.294363048373720312e+13
1.827051086425780113e+01,1.290490238587740312e+14,5.042387081110089844e+13
1.877802505493162855e+01,1.220909448012921406e+14,4.770511115684846875e+13
1.928553924560545596e+01,1.146510285627265000e+14,4.479808122325214844e+13
1.979305343627928337e+01,1.067586370934964688e+14,4.171425372936416406e+13
2.030056762695311079e+01,9.844491805704015625e+13,3.846579913343614844e+13
2.080808181762693820e+01,8.974268190421775000e+13,3.506553760168046094e+13
2.131559600830076562e+01,8.068627238545079688e+13,3.152688841293125000e+13
2.182311019897459303e+01,7.131143101162992188e+13,2.786381699888142969e+13
2.233062438964842045e+01,6.165515599870003125e+13,2.409077982890416406e+13
2.283813858032224786e+01,5.175555625260471875e+13,2.022266735697258594e+13
2.334565277099607528e+01,4.165170097084487500e+13,1.627474525584094531e+13
2.385316696166990269e+01,3.138346545420521484e+13,1.226259417040836328e+13
2.436068115234373010e+01,2.099137373715936328e+13,8.202048228031563477e+12
2.486819534301755752e+01,1.051643865801937500e+13,4.109132548458116211e+12
2.537570953369138493e+01,-3.276845703789674127e-03,0.000000000000000000e+00
