x_cm,phi_g1,phi_g2
0.000000000000000000e+00,-1.965020141380388130e-04,-0.000000000000000000e+00
5.000000000000000000e-01,7.845155361490062256e+11,2.131169399978822754e+12
1.000000000000000000e+00,1.572169521043444580e+12,4.264256155686461426e+12
1.500000000000000000e+00,2.366113234218802246e+12,6.401136768784165039e+12
2.000000000000000000e+00,3.169523671275864258e+12,8.543605508231674805e+12
2.500000000000000000e+00,3.985616538372323242e+12,1.069333197771497070e+13
3.000000000000000000e+00,4.817659411155167969e+12,1.285181709011332031e+13
3.500000000000000000e+00,5.668985114101111328e+12,1.502034689540798242e+13
4.000000000000000000e+00,6.543005377228483398e+12,1.719994368881518945e+13
4.500000000000000000e+00,7.443224828398431641e+12,1.939131380110020312e+13
5.000000000000000000e+00,8.373255380942059570e+12,2.159479144279303125e+13
5.500000000000000000e+00,9.336831078140896484e+12,2.381027793813114062e+13
6.000000000000000000e+00,1.033782345815959961e+13,2.603717564270545312e+13
6.500000000000000000e+00,1.138025750539241602e+13,2.827431579063965234e+13
7.000000000000000000e+00,1.246832825685025195e+13,3.051987946229367188e+13
7.500000000000000000e+00,1.360641813519665820e+13,3.277131080150196875e+13
8.000000000000000000e+00,1.479911508335330078e+13,3.502522154172801953e+13
8.500000000000000000e+00,1.605123157925510938e+13,3.727728582266846875e+13
9.000000000000000000e+00,1.736782461336087305e+13,3.952212419213946094e+13
9.500000000000000000e+00,1.875421671593614062e+13,4.175317559181439062e+13
1.000000000000000000e+01,2.021601812594479297e+13,4.396255601877617969e+13
1.050000000000000000e+01,2.175915019863703516e+13,4.614090243702614062e+13
1.100000000000000000e+01,2.338987015463241406e+13,4.827720038310371094e+13
1.150000000000000000e+01,2.511479727949422266e+13,5.035859356675800000e+13
1.200000000000000000e+01,2.694094068950942969e+13,5.237017361001656250e+13
1.250000000000000000e+01,2.887572878665867969e+13,5.429474789474112500e+13
1.300000000000000000e+01,3.092704053362278516e+13,5.611258329844757031e+13
1.350000000000000000e+01,3.310323868816364062e+13,5.780112338926177344e+13
1.400000000000000000e+01,3.541320514538467969e+13,5.933467642170086719e+13
1.450000000000000000e+01,3.786637854626372656e+13,6.068407122366910156e+13
1.500000000000000000e+01,4.047279432151296094e+13,6.181627778962024219e+13
1.550000000000000000e+01,4.324312735130917969e+13,6.269398909305300781e+13
1.600000000000000000e+01,4.618873743381600781e+13,6.327516030096016406e+13
1.650000000000000000e+01,4.932171776874878906e+13,6.351250121089498438e+13
1.700000000000000000e+01,5.265494667658660156e+13,6.335291733506700781e+13
1.750000000000000000e+01,5.620214278948624219e+13,6.273689462216577344e+13
1.800000000000000000e+01,5.997792396658459375e+13,6.159782233298413281e+13
1.850000000000000000e+01,6.399787020427347656e+13,5.986124806659546094e+13
