x_cm,phi_g1,phi_g2,phi_g3,phi_g4
0.000000000000000000e+00,5.815521425732413444e-04,1.062562259589859857e-04,-3.010383013659695804e-05,-0.000000000000000000e+00
5.000000000000000000e-01,7.534367388068885498e+11,3.745322272999067383e+11,3.155672828047277832e+11,3.511700309870888184e+12
1.000000000000000000e+00,1.510031289207831055e+12,7.505179634970750732e+11,6.321969958233756104e+11,7.023844338704224609e+12
1.500000000000000000e+00,2.272954697848414551e+12,1.129414574160184082e+12,9.509519964585252686e+11,1.053679368323905469e+13
2.000000000000000000e+00,3.045404536948167969e+12,1.512687111378252441e+12,1.272895935973093262e+12,1.405074505740682031e+13
2.500000000000000000e+00,3.830618305997223633e+12,1.901812089025489990e+12,1.599093504013971680e+12,1.756564625518400000e+13
3.000000000000000000e+00,4.631887000796558594e+12,2.298281173782472656e+12,1.930610487116247559e+12,2.108111019908696094e+13
3.500000000000000000e+00,5.452568906712503906e+12,2.703604759357070801e+12,2.268513573925275391e+12,2.459632643735345703e+13
4.000000000000000000e+00,6.296103673955951172e+12,3.119315387391486328e+12,2.613869835294965820e+12,2.810996945440465625e+13
4.500000000000000000e+00,7.166026733878721680e+12,3.546970973441459961e+12,2.967745801605355469e+12,3.162010316181886328e+13
5.000000000000000000e+00,8.065984116708789062e+12,3.988157790062901855e+12,3.331206052530501953e+12,3.512408094126043359e+13
5.500000000000000000e+00,8.999747732828652344e+12,4.444493151307009766e+12,3.705311226007375488e+12,3.861844061719487500e+13
6.000000000000000000e+00,9.971231181643820312e+12,4.917627733645739258e+12,4.091115343225324707e+12,4.209879374651181250e+13
6.500000000000000000e+00,1.098450615429980859e+13,5.409247457331873047e+12,4.489662334982081055e+12,4.555970862523604688e+13
7.000000000000000000e+00,1.204381949899476367e+13,5.921074839213438477e+12,4.901981641635364258e+12,4.899458643035020312e+13
7.500000000000000000e+00,1.315361102041209570e+13,6.454869712801885742e+12,5.329082744012100586e+12,5.239552993856273438e+13
8.000000000000000000e+00,1.431853208787429492e+13,7.012429193623406250e+12,5.771948465908046875e+12,5.575320429500292188e+13
8.500000000000000000e+00,1.554346513020850195e+13,7.595586747198089844e+12,6.231526870106532227e+12,5.905668934487810938e+13
9.000000000000000000e+00,1.683354409903109375e+13,8.206210192968173828e+12,6.708721549055665039e+12,6.229332309188673438e+13
9.500000000000000000e+00,1.819417598621699219e+13,8.846198449644699219e+12,7.204380088366665039e+12,6.544853591068353906e+13
1.000000000000000000e+01,1.963106348573808594e+13,9.517476795194017578e+12,7.719280456044429688e+12,6.850567521925242969e+13
1.050000000000000000e+01,2.115022889485123828e+13,1.022199037738905078e+13,8.254115042771988281e+12,7.144582041326612500e+13
1.100000000000000000e+01,2.275803935481077734e+13,1.096169566774986914e+13,8.809472048613841797e+12,7.424758798131804688e+13
1.150000000000000000e+01,2.446123353689459375e+13,1.173854950192675781e+13,9.385813879200353516e+12,7.688692686057234375e+13
1.200000000000000000e+01,2.626694988559058984e+13,1.255449529213539062e+13,9.983452179893318359e+12,7.933690426052026562e+13
1.250000000000000000e+01,2.818275653731655469e+13,1.341144593098819727e+13,1.060251909978824219e+13,8.156748238216831250e+13
1.300000000000000000e+01,3.021668304006928516e+13,1.431126282965310938e+13,1.124293433897496680e+13,8.354528669553873438e+13
1.350000000000000000e+01,3.237725400694640234e+13,1.525573044518905664e+13,1.190436749270071484e+13,8.523336671465104688e+13
1.400000000000000000e+01,3.467352484458998047e+13,1.624652555040358008e+13,1.258619516559669531e+13,8.659095053142173438e+13
1.450000000000000000e+01,3.711511970629743750e+13,1.728518038263977344e+13,1.328745228882870117e+13,8.757319474379210938e+13
1.500000000000000000e+01,3.971227182886913281e+13,1.837303867321037891e+13,1.400677703411053906e+13,8.813093184488085938e+13
1.550000000000000000e+01,4.247586642225272656e+13,1.951120340409681641e+13,1.474234868256757227e+13,8.821041763537789062e+13
1.600000000000000000e+01,4.541748629174392188e+13,2.070047495995926172e+13,1.549181777553484570e+13,8.775308178730743750e+13
1.650000000000000000e+01,4.854946038395592188e+13,2.194127813794702734e+13,1.625222785120654883e+13,8.669528533037560938e+13
1.700000000000000000e+01,5.188491546002379688e+13,2.323357624121376953e+13,1.701992805906381445e+13,8.496808955901489062e+13
1.750000000000000000e+01,5.543783111261686719e+13,2.457677020978828516e+13,1.779047594756608984e+13,8.249704167531895312e+13
1.800000000000000000e+01,5.922309835734742969e+13,2.596958042919174609e+13,1.855852974521651172e+13,7.920198339611931250e+13
1.850000000000000000e+01,6.325658204414437500e+13,2.740990849679519141e+13,1.931772950772824609e+13,7.499688976633165625e+13
1.900000000000000000e+01,6.755518735017053125e+13,2.889467581133292969e+13,2.006056659327600000e+13,6.978974653873514844e+13
1.950000000000000000e+01,7.213693063297059375e+13,3.041963537413155078e+13,2.077824106447008594e+13,6.348247570375663281e+13
2.000000000000000000e+01,7.702101494080885938e+13,3.197915264218141406e+13,2.146050681306709766e+13,5.597092007980893750e+13
2.050000000000000000e+01,8.169024479094209375e+13,3.377144754831081641e+13,2.226138611505208984e+13,5.009844025224414062e+13
2.100000000000000000e+01,8.594651288845578125e+13,3.551232361674878125e+13,2.308970150248125391e+13,4.572569457329307812e+13
2.150000000000000000e+01,8.987969555184434375e+13,3.719967321618077344e+13,2.393615332461312891e+13,4.252468927680541406e+13
2.200000000000000000e+01,9.355932045209445312e+13,3.883366243341100000e+13,2.479314772647133203e+13,4.023824421000846875e+13
2.250000000000000000e+01,9.703903896562062500e+13,4.041591807954578906e+13,2.565458675476433203e+13,3.866470890457860938e+13
2.300000000000000000e+01,1.003601277519252344e+14,4.194894369248865625e+13,2.651565455628792188e+13,3.764598840176775781e+13
2.350000000000000000e+01,1.035542291982708281e+14,4.343570649868552344e+13,2.737261316563081250e+13,3.705815753522430469e+13
2.400000000000000000e+01,1.066454950941450156e+14,4.487935117397451562e+13,2.822261550706127344e+13,3.680410086980603125e+13
2.450000000000000000e+01,1.096522624389117656e+14,4.628300691699503125e+13,2.906353928480691406e+13,3.680773884493832031e+13
2.500000000000000000e+01,1.125883625022721250e+14,4.764966254250000000e+13,2.989384285254493359e+13,3.700949674020134375e+13
2.550000000000000000e+01,1.154641424768144531e+14,4.898209057830516406e+13,3.071244253134732812e+13,3.736274795820394531e+13
2.600000000000000000e+01,1.182872619801792500e+14,5.028280614509074219e+13,3.151860989068014062e+13,3.783102152390825000e+13
2.650000000000000000e+01,1.210633132622525781e+14,5.155405005166085938e+13,3.231188700640119141e+13,3.838580928894556250e+13
2.700000000000000000e+01,1.237963034540816719e+14,5.279778831231149219e+13,3.309201751059924219e+13,3.900484394267893750e+13
2.750000000000000000e+01,1.264890289371953594e+14,5.401572239123068750e+13,3.385889124257466016e+13,3.967074677270133594e+13
2.800000000000000000e+01,1.291433654274198750e+14,5.520930605891185938e+13,3.461250042274027344e+13,4.036996589844388281e+13
2.850000000000000000e+01,1.317604922745286562e+14,5.637976592920609375e+13,3.535290544973863281e+13,4.109194275399347656e+13
2.900000000000000000e+01,1.343410654791280938e+14,5.752812362689646094e+13,3.608020863060010938e+13,4.182845795606708594e+13
2.950000000000000000e+01,1.368853507866117969e+14,5.865521818701921875e+13,3.679453437137236719e+13,4.257311816710482031e+13
3.000000000000000000e+01,1.393933257508645625e+14,5.976172776433366406e+13,3.749601456692898438e+13,4.332095378035120312e+13
3.050000000000000000e+01,1.418647577232704688e+14,6.084819007716163281e+13,3.818477812513588281e+13,4.406810370398282031e+13
3.100000000000000000e+01,1.442992632020718438e+14,6.191502125705951562e+13,3.886094373778954688e+13,4.481156858760237500e+13
3.150000000000000000e+01,1.466963527841210625e+14,6.296253294948956250e+13,3.952461516700304688e+13,4.554901781581223438e+13
3.200000000000000000e+01,1.490554650255272500e+14,6.399094762989010938e+13,4.017587845101278906e+13,4.627863872392247656e+13
3.250000000000000000e+01,1.513759917845377812e+14,6.500041217876613281e+13,4.081480054877220312e+13,4.699901895311539844e+13
3.300000000000000000e+01,1.536572970458915312e+14,6.599100980956066406e+13,4.144142903985796094e+13,4.770905479986500781e+13
3.350000000000000000e+01,1.558987307767480938e+14,6.696277047233918750e+13,4.205579257708796875e+13,4.840787993940671875e+13
3.400000000000000000e+01,1.580996390133252188e+14,6.791567987085981250e+13,4.265790185586507812e+13,4.909481010365632812e+13
3.450000000000000000e+01,1.602593711034564062e+14,6.884968723497327344e+13,4.324775091859129688e+13,4.976930023933479688e+13
3.500000000000000000e+01,1.623772848168177500e+14,6.976471198785508594e+13,4.382531865638335156e+13,5.043091141648095312e+13
3.550000000000000000e+01,1.644527498684952812e+14,7.066064944076201562e+13,4.439057040543235938e+13,5.107928534372378125e+13
3.600000000000000000e+01,1.664851502726166250e+14,7.153737563859323438e+13,4.494345956316558594e+13,5.171412480821898438e+13
3.650000000000000000e+01,1.684738858428508125e+14,7.239475146877018750e+13,4.548392917117289062e+13,5.233517872146407812e+13
3.700000000000000000e+01,1.704183730793708438e+14,7.323262613469629688e+13,4.601191342876242188e+13,5.294223073810008594e+13
3.750000000000000000e+01,1.723180456223611562e+14,7.405084008390615625e+13,4.652733911394264062e+13,5.353509063968796094e+13
3.800000000000000000e+01,1.741723544064461562e+14,7.484922747034131250e+13,4.703012689837903125e+13,5.411358785223207812e+13
3.850000000000000000e+01,1.759807676154331875e+14,7.562761822023175000e+13,4.752019255009559375e+13,5.467756660510595312e+13
3.900000000000000000e+01,1.777427705101081250e+14,7.638583976193706250e+13,4.799744802292285156e+13,5.522688234804902344e+13
3.950000000000000000e+01,1.794578651816144688e+14,7.712371847186746875e+13,4.846180243537203906e+13,5.576139912839088281e+13
4.000000000000000000e+01,1.811255702677081562e+14,7.784108088125795312e+13,4.891316294409809375e+13,5.628098769761836719e+13
4.050000000000000000e+01,1.827454206577782812e+14,7.853775468207642188e+13,4.935143551868617969e+13,5.678552416878075000e+13
4.100000000000000000e+01,1.843169672040530000e+14,7.921356956466076562e+13,4.977652562538672656e+13,5.727488908714012500e+13
4.150000000000000000e+01,1.858397764501838125e+14,7.986835791472693750e+13,5.018833882781070312e+13,5.774896680837319531e+13
4.200000000000000000e+01,1.873134303838788125e+14,8.050195539311125000e+13,5.058678131262392969e+13,5.820764510345518750e+13
4.250000000000000000e+01,1.887375262170234062e+14,8.111420141792450000e+13,5.097176034805351562e+13,5.865081492863082031e+13
4.300000000000000000e+01,1.901116761944572500e+14,8.170493956564332812e+13,5.134318468262573438e+13,5.907837031380598438e+13
4.350000000000000000e+01,1.914355074310361562e+14,8.227401790497489062e+13,5.170096489105710938e+13,5.949020833422202344e+13
4.400000000000000000e+01,1.927086617755890938e+14,8.282128927504775000e+13,5.204501367366513281e+13,5.988622913914942188e+13
4.450000000000000000e+01,1.939307956997626875e+14,8.334661151755103125e+13,5.237524611508748438e+13,6.026633601814316406e+13
4.500000000000000000e+01,1.951015802093936875e+14,8.384984767081382812e+13,5.269157990752332031e+13,6.063043549059960156e+13
4.550000000000000000e+01,1.962207007759113438e+14,8.433086613244940625e+13,5.299393554315439062e+13,6.097843740830410938e+13
4.600000000000000000e+01,1.972878572852505312e+14,8.478954079603929688e+13,5.328223647987788281e+13,6.131025506364373438e+13
4.650000000000000000e+01,1.983027640018442812e+14,8.522575116637620312e+13,5.355640928399639062e+13,6.162580529839894531e+13
4.700000000000000000e+01,1.992651495453950625e+14,8.563938245698373438e+13,5.381638375306257812e+13,6.192500860969800000e+13
4.750000000000000000e+01,2.001747568782930312e+14,8.603032567296846875e+13,5.406209302167383594e+13,6.220778925094977344e+13
4.800000000000000000e+01,2.010313433017370938e+14,8.639847768171012500e+13,5.429347365264992969e+13,6.247407532646835156e+13
4.850000000000000000e+01,2.018346804587929375e+14,8.674374127344226562e+13,5.451046571570682031e+13,6.272379887915314844e+13
4.900000000000000000e+01,2.025845543428134375e+14,8.706602521340115625e+13,5.471301285545814062e+13,6.295689597104393750e+13
4.950000000000000000e+01,2.032807653098090000e+14,8.736524428691626562e+13,5.490106235033055469e+13,6.317330675689041406e+13
