x_cm,phi_g1,phi_g2,phi_g3,phi_g4
0.000000000000000000e+00,5.547319904054058386e-04,1.628404751945708732e-04,-1.307517513525137216e-06,-0.000000000000000000e+00
5.000000000000000000e-01,6.180548450168715820e+11,3.070013023239108276e+11,2.584068323431469421e+11,2.867392220632173828e+12
1.000000000000000000e+00,1.238700087680726318e+12,6.151904617254188232e+11,5.176779257168957520e+11,5.735087373559196289e+12
1.500000000000000000e+00,1.864536982539068848e+12,9.257584128698057861e+11,7.786777822062381592e+11,8.603321158903777344e+12
2.000000000000000000e+00,2.498188543444000000e+12,1.239902221939173096e+12,1.042271335023599854e+12,1.147219429854065234e+13
2.500000000000000000e+00,3.142310537154098145e+12,1.558828092442294922e+12,1.309324035700529785e+12,1.434160376252262500e+13
3.000000000000000000e+00,3.799602614210625488e+12,1.883754296823198242e+12,1.580701784651109863e+12,1.721117245510819727e+13
3.500000000000000000e+00,4.472819623739857422e+12,2.215914005312039062e+12,1.857270648565841797e+12,2.008017684872322266e+13
4.000000000000000000e+00,5.164783159604300781e+12,2.556557980082299805e+12,2.139896304324481201e+12,2.294747205619318359e+13
4.500000000000000000e+00,5.878393386295115234e+12,2.906957098422732422e+12,2.429443144332396484e+12,2.581141383467550781e+13
5.000000000000000000e+00,6.616641194130502930e+12,3.268404663209731934e+12,2.726772972340899414e+12,2.866977701930954688e+13
5.500000000000000000e+00,7.382620734705141602e+12,3.642218452362651855e+12,3.032743211852917969e+12,3.151966989118740234e+13
6.000000000000000000e+00,8.179542389129285156e+12,4.029742451043473145e+12,3.348204541078731934e+12,3.435744399343918750e+13
6.500000000000000000e+00,9.010746223410171875e+12,4.432348200958773438e+12,3.673997859023456543e+12,3.717859892174130469e+13
7.000000000000000000e+00,9.879715987370076172e+12,4.851435690041313477e+12,4.010950476583826660e+12,3.997768163224069531e+13
7.500000000000000000e+00,1.079009371577340625e+13,5.288433692802259766e+12,4.359871414429026367e+12,4.274817983172434375e+13
8.000000000000000000e+00,1.174569499285922461e+13,5.744799456485718750e+12,4.721545675859541992e+12,4.548240904298210156e+13
8.500000000000000000e+00,1.275052494425606641e+13,6.222017610514527344e+12,5.096727347702158203e+12,4.817139297401018750e+13
9.000000000000000000e+00,1.380879502330452930e+13,6.721598156228974609e+12,5.486131365537180664e+12,5.080473686445861719e+13
9.500000000000000000e+00,1.492494066214260938e+13,7.245073370171806641e+12,5.890423761105220703e+12,5.337049353821554688e+13
1.000000000000000000e+01,1.610363986153327539e+13,7.793993426680734375e+12,6.310210189563397461e+12,5.585502195913129688e+13
1.050000000000000000e+01,1.734983279734799805e+13,8.369920513757758789e+12,6.746022512337554688e+12,5.824283816974000000e+13
1.100000000000000000e+01,1.866874252588129297e+13,8.974421179451539062e+12,7.198303187668749023e+12,6.051645859280505469e+13
1.150000000000000000e+01,2.006589687477648047e+13,9.609056603575457031e+12,7.667387195648363281e+12,6.265623579523363281e+13
1.200000000000000000e+01,2.154715161131221875e+13,1.027537044063975195e+13,8.153481197714002930e+12,6.464018695628898438e+13
1.250000000000000000e+01,2.311871498515279688e+13,1.097487382342138477e+13,8.656639602460878906e+12,6.644381545028431250e+13
1.300000000000000000e+01,2.478717374842630469e+13,1.170902705150417969e+13,9.176737180548722656e+12,6.803992615156474219e+13
1.350000000000000000e+01,2.655952076218595312e+13,1.247921741409782422e+13,9.713437841933060547e+12,6.939843530037661719e+13
1.400000000000000000e+01,2.844318430495928125e+13,1.328673250999862891e+13,1.026615915928888086e+13,7.048617603625804688e+13
1.450000000000000000e+01,3.044605920622339062e+13,1.413272832797262500e+13,1.083403219322185938e+13,7.126670101521139062e+13
1.500000000000000000e+01,3.257653993529322266e+13,1.501819123615545312e+13,1.141585614886832422e+13,7.170008388269539062e+13
1.550000000000000000e+01,3.484355578430527734e+13,1.594389289700709766e+13,1.201004737132365234e+13,7.174272178113110938e+13
1.600000000000000000e+01,3.725660829275602344e+13,1.691033697233321875e+13,1.261458217101796680e+13,7.134714153294965625e+13
1.650000000000000000e+01,3.982581107044947656e+13,1.791769630789593750e+13,1.322693296224573828e+13,7.046181266296770312e+13
1.700000000000000000e+01,4.256193218575950781e+13,1.896573908575030078e+13,1.384399720181403711e+13,6.903097101158172656e+13
1.750000000000000000e+01,4.547643929686580469e+13,2.005374220070732031e+13,1.446201863431635352e+13,6.699445734700710938e+13
1.800000000000000000e+01,4.858154771511755469e+13,2.118038985070300000e+13,1.507650039102661914e+13,6.428757611387725000e+13
1.850000000000000000e+01,5.189027160196835938e+13,2.234365502412963672e+13,1.568210955728427148e+13,6.084098025916995312e+13
1.900000000000000000e+01,5.541647851406006250e+13,2.354066121436773828e+13,1.627257292651738867e+13,5.658058895520428125e+13
1.950000000000000000e+01,5.917494752506466406e+13,2.476752128596144922e+13,1.684056380764828516e+13,5.142754599166592188e+13
2.000000000000000000e+01,6.318143116788581250e+13,2.601914995019247266e+13,1.737757995879671289e+13,4.529822762950409375e+13
2.050000000000000000e+01,6.699334891992585938e+13,2.745186110633798438e+13,1.800449705936576172e+13,4.050296789434660938e+13
2.100000000000000000e+01,7.043371178809492188e+13,2.883510745107726953e+13,1.864964214703871875e+13,3.691966240721132031e+13
