x_cm,phi_g1,phi_g2,phi_g3,phi_g4
0.000000000000000000e+00,2.013573140883709431e-04,1.116096064244457764e-05,1.208453450093254112e-07,0.000000000000000000e+00
5.000000000000000000e-01,1.603991187175908203e+11,7.978524008491217041e+10,6.728162120253223419e+10,7.505352892923919678e+11
1.000000000000000000e+00,3.214705038255418091e+11,1.598809000999479980e+11,1.347910202393164825e+11,1.501178502368721191e+12
1.500000000000000000e+00,4.838892393238315430e+11,2.405982399157556458e+11,2.027560899616545105e+11,2.252020050879717773e+12
2.000000000000000000e+00,6.483360562408676758e+11,3.222501939371388550e+11,2.714049406671512451e+11,3.003115184164931641e+12
2.500000000000000000e+00,8.155001857201810303e+11,4.051521948099670410e+11,3.409659771173144531e+11,3.754466062979512695e+12
3.000000000000000000e+00,9.860822477328864746e+11,4.896229803115779419e+11,4.116679368448012085e+11,4.506003419082622070e+12
3.500000000000000000e+00,1.160797187523113281e+12,5.759853768996447754e+11,4.837398757325241699e+11,5.257567662703068359e+12
4.000000000000000000e+00,1.340377272093658203e+12,6.645670525813850098e+11,5.574110858753524170e+11,6.008889300065835938e+12
4.500000000000000000e+00,1.525575159290775635e+12,7.557012307168439941e+11,6.329109295004046631e+11,6.759568523519686523e+12
5.000000000000000000e+00,1.717167052351264160e+12,8.497273550647587891e+11,7.104685712104362793e+11,7.509053837452858398e+12
5.500000000000000000e+00,1.915955953133238037e+12,9.469916947897316895e+11,7.903125890104615479e+11,8.256619584246681641e+12
6.000000000000000000e+00,2.122775027665542725e+12,1.047847876241848877e+12,8.726704424619166260e+11,9.001342236148626953e+12
6.500000000000000000e+00,2.338491098121551270e+12,1.152657326054602295e+12,9.577677738603894043e+11,9.742075321328152344e+12
7.000000000000000000e+00,2.564008275852916504e+12,1.261789607436862793e+12,1.045827515529092529e+12,1.047742285572507227e+13
7.500000000000000000e+00,2.800271750710120117e+12,1.375622628404330811e+12,1.137068773135794678e+12,1.120571115686021289e+13
8.000000000000000000e+00,3.048271752531617188e+12,1.494542697040630859e+12,1.231705451349413818e+12,1.192495892184110938e+13
8.500000000000000000e+00,3.309047701405043945e+12,1.618944394622709473e+12,1.329944584126451172e+12,1.263284545969395312e+13
9.000000000000000000e+00,3.583692564095074219e+12,1.749230232502192383e+12,1.431984327429267578e+12,1.332667697826843164e+13
9.500000000000000000e+00,3.873357434896666992e+12,1.885810052902586182e+12,1.538011567201000732e+12,1.400335083872849609e+13
1.000000000000000000e+01,4.179256360112972168e+12,2.029100127155046631e+12,1.648199089930806641e+12,1.465931770655365234e+13
1.050000000000000000e+01,4.502671426378348633e+12,2.179521897217932129e+12,1.762702257116687500e+12,1.529054154758918164e+13
1.100000000000000000e+01,4.844958134152676758e+12,2.337500297452113770e+12,1.881655118356064209e+12,1.589245744162824414e+13
1.150000000000000000e+01,5.207551078908445312e+12,2.503461583375970703e+12,2.005165890658934814e+12,1.645992721498858008e+13
1.200000000000000000e+01,5.591969963821646484e+12,2.677830582294956543e+12,2.133311723889634766e+12,1.698719292834758398e+13
1.250000000000000000e+01,5.999825969166911133e+12,2.861027267053188965e+12,2.266132664020988281e+12,1.746782829759571289e+13
1.300000000000000000e+01,6.432828505112416016e+12,3.053462538415754395e+12,2.403624717170736816e+12,1.789468817462605078e+13
1.350000000000000000e+01,6.892792376216832031e+12,3.255533083446141113e+12,2.545731908253712402e+12,1.825985627285944141e+13
1.400000000000000000e+01,7.381645387656371094e+12,3.467615156332307617e+12,2.692337218629627441e+12,1.855459139007088672e+13
1.450000000000000000e+01,7.901436425061111328e+12,3.690057104022004883e+12,2.843252277506893066e+12,1.876927245999431250e+13
1.500000000000000000e+01,8.454344041824931641e+12,3.923170431275668945e+12,2.998205672287526855e+12,1.889334285559398438e+13
1.550000000000000000e+01,9.042685589880285156e+12,4.167219167784625977e+12,3.156829733790768066e+12,1.891525447224851172e+13
1.600000000000000000e+01,9.668926932206800781e+12,4.422407263202677734e+12,3.318645643750384766e+12,1.882241223991915625e+13
1.650000000000000000e+01,1.033569277778085938e+13,4.688863693575225586e+12,3.483046704635267578e+12,1.860111985124990234e+13
1.700000000000000000e+01,1.104577768228207227e+13,4.966624913888733398e+12,3.649279606332102539e+12,1.823652764908554297e+13
1.750000000000000000e+01,1.180215776066305273e+13,5.255614235346768555e+12,3.816423521367634277e+12,1.771258379370043750e+13
1.800000000000000000e+01,1.260800316067209766e+13,5.555617641406797852e+12,3.983366861173291504e+12,1.701199002864909375e+13
1.850000000000000000e+01,1.346669134960818164e+13,5.866255482319689453e+12,4.148781531713838379e+12,1.611616358599312109e+13
1.900000000000000000e+01,1.438182126999566406e+13,6.186949402448357422e+12,4.311094539256201172e+12,1.500520701791394727e+13
1.950000000000000000e+01,1.535722842350816211e+13,6.516883756333978516e+12,4.468456818194314453e+12,1.365788801322605859e+13
2.000000000000000000e+01,1.639700094636155078e+13,6.854960656408743164e+12,4.618709185220419922e+12,1.205163155439573242e+13
2.050000000000000000e+01,1.739497286305870508e+13,7.244758432723590820e+12,4.795851369884565430e+12,1.079663537798613477e+13
2.100000000000000000e+01,1.831209387124691016e+13,7.625208082701788086e+12,4.979784823444734375e+12,9.864972359053251953e+12
2.150000000000000000e+01,1.916689675036057422e+13,7.995999699300278320e+12,5.168597720303248047e+12,9.186230729830609375e+12
2.200000000000000000e+01,1.997374914759994922e+13,8.357278609431580078e+12,5.360736407028530273e+12,8.705215227518538086e+12
2.250000000000000000e+01,2.074376870703121875e+13,8.709480455708494141e+12,5.554960736590201172e+12,8.378661494368280273e+12
2.300000000000000000e+01,2.148553949481828516e+13,9.053212906818189453e+12,5.750298866687496094e+12,8.172662164152283203e+12
2.350000000000000000e+01,2.220567264876824219e+13,9.389172156669517578e+12,5.946004252677683594e+12,8.060649532874951172e+12
2.400000000000000000e+01,2.290924490506582031e+13,9.718085206739521484e+12,6.141516365045375977e+12,8.021813783201120117e+12
